Percentile,Year,"USA","China","Japan","Germany","Canada","United Kingdom","France","Italy","Brazil","India"
p99p100,1980,0.1067,0.064199999,0.0836,0.087200001,0.088799998,,0.081699997,0.048900001,,0.073399998
p99p100,1981,0.1105,0.067100003,0.082500003,0.086800002,0.085500002,0.065700002,0.082099997,0.0451,,0.067000002
p99p100,1982,0.1126,0.069399998,0.082199998,0.086400002,0.0889,0.067299999,0.075199999,0.044100001,,0.061099999
p99p100,1983,0.1151,0.071099997,0.0823,0.086000003,0.0876,0.067000002,0.073299997,0.043900002,,0.1031
p99p100,1984,0.125,0.074500002,0.082500003,0.088200003,0.087300003,0.069600001,0.074699998,0.0451,,0.0889
p99p100,1985,0.1255,0.079999998,0.083800003,0.090599999,0.088799998,0.071599998,0.077399999,0.048300002,,0.1045
p99p100,1986,0.1221,0.079700001,0.088699996,0.092900001,0.091499999,0.072999999,0.082500003,0.055300001,,0.1081
p99p100,1987,0.1331,0.078699999,0.103,0.099200003,0.098800004,0.075199999,0.0902,0.056600001,,0.1032
p99p100,1988,0.1488,0.079999998,0.1057,0.1055,0.1074,0.082000002,0.091600001,0.059900001,,0.1111
p99p100,1989,0.1446,0.082099997,0.119,0.1119,0.119,0.082000002,0.095200002,0.0612,,0.1102
p99p100,1990,0.1454,0.081,0.12980001,0.1077,0.1018,0.078100003,0.0933,0.060699999,,0.1046
p99p100,1991,0.1389,0.0832,0.1214,0.1035,0.1029,0.079599999,0.091499999,0.061099999,,0.1016
p99p100,1992,0.1501,0.087499999,0.084200002,0.098200001,0.1047,0.075499997,0.086199999,0.061500002,,0.1001
p99p100,1993,0.1464,0.092,0.086400002,0.093400002,0.1129,0.0823,0.090899996,0.063900001,,0.1247
p99p100,1994,0.1469,0.094400004,0.085500002,0.090300001,0.1139,0.088500001,0.091799997,0.066200003,,0.1236
p99p100,1995,0.1528,0.092900001,0.0867,0.089900002,0.109,0.088799998,0.092299998,0.071699999,,0.1301
p99p100,1996,0.1597,0.0955,0.089000002,0.096100003,0.115,0.099399999,0.1003,0.073399998,,0.1321
p99p100,1997,0.1663,0.0955,0.083999999,0.1004,0.1246,0.1001,0.1044,0.073100001,,0.1383
p99p100,1998,0.1692,0.098399997,0.084700003,0.105,0.12989999,0.1019,0.1067,0.075199999,,0.1436
p99p100,1999,0.1771,0.099299997,0.087399997,0.1018,0.13249999,0.1034,0.106,0.072099999,,0.147
p99p100,2000,0.1827,0.1037,0.090599999,0.1012,0.1462,0.104,0.1103,0.077,,0.1512
p99p100,2001,0.1727,0.1087,0.093800001,0.0999,0.13850001,0.1029,0.1132,0.079999998,0.26210001,0.15889999
p99p100,2002,0.1706,0.12549999,0.095100001,0.099399999,0.13349999,0.1031,0.1095,0.077299997,0.27419999,0.16680001
p99p100,2003,0.172,0.1313,0.097999997,0.093900003,0.1323,0.1086,0.1135,0.077799998,0.27200001,0.1751
p99p100,2004,0.1832,0.1382,0.1047,0.1043,0.1397,0.1084,0.1162,0.0766,0.27320001,0.1837
p99p100,2005,0.1937,0.142,0.1104,0.1176,0.1473,0.1173,0.1147,0.075999998,0.27900001,0.1926
p99p100,2006,0.201,0.1477,0.1131,0.1207,0.1543,0.1231,0.1124,0.077,0.2823,0.19660001
